no	ID	tube_label	pop.x	site.x	order	pop_code	rid	mf	pop.y	lf_thickness	postvern_stem_diam	postvern_height	postvern_lngst_lf	postvern_no_lvs	postvern_no_brs	flrd_yn	died_during_drt	site.y	el	lat	long	cwd	ppt	pck	str	tmn	tmx	PC1	PC2	season_length	sla
149	CP2-11-3	ST8L28	CP2	CP2	44	2	78	11	CP2	0.27	1.52	3.7	1.9	14	1	1	0	CP2	2244.132886	38.66169	-120.13065	23033.6100845337	38523.0099671874	73666.9801073074	160683.830108643	1.04257453249157	13.4050135480033	0.613459965437426	0.580997989412265	5.35483870967742	14.94545455
75	CP2-14-1	ST9L49	CP2	CP2	46	2	82	14	CP2	0.44	1.29	3.6	2.1	12	1	0	0	CP2	2244.132886	38.66169	-120.13065	23033.6100845337	38523.0099671874	73666.9801073074	160683.830108643	1.04257453249157	13.4050135480033	0.613459965437426	0.580997989412265	5.35483870967742	NA
186	CP2-17-3	ST1L47	CP2	CP2	53	2	66	17	CP2	0.31	1.62	4.1	2.2	15	1	1	0	CP2	2244.132886	38.66169	-120.13065	23033.6100845337	38523.0099671874	73666.9801073074	160683.830108643	1.04257453249157	13.4050135480033	0.613459965437426	0.580997989412265	5.35483870967742	NA
180	CP2-7-3	ST11L6	CP2	CP2	87	2	86	7	CP2	0.3	1.63	6.8	2.2	17	1	1	0	CP2	2244.132886	38.66169	-120.13065	23033.6100845337	38523.0099671874	73666.9801073074	160683.830108643	1.04257453249157	13.4050135480033	0.613459965437426	0.580997989412265	5.35483870967742	12.31952663
24	CP2-9-1	ST10L27	CP2	CP2	122	2	84	9	CP2	0.26	1.31	8	2.3	12	1	0	0	CP2	2244.132886	38.66169	-120.13065	23033.6100845337	38523.0099671874	73666.9801073074	160683.830108643	1.04257453249157	13.4050135480033	0.613459965437426	0.580997989412265	5.35483870967742	12.01685393
135	CP2-1-2	ST9L35	CP2	CP2	152	2	81	1	CP2	0.41	1.59	2.6	2	12	1	0	0	CP2	2244.132886	38.66169	-120.13065	23033.6100845337	38523.0099671874	73666.9801073074	160683.830108643	1.04257453249157	13.4050135480033	0.613459965437426	0.580997989412265	5.35483870967742	11.32520325
90	CP2-10-1	ST1L3	CP2	CP2	170	2	64	10	CP2	0.17	1.18	3.5	2.1	21	1	0	0	CP2	2244.132886	38.66169	-120.13065	23033.6100845337	38523.0099671874	73666.9801073074	160683.830108643	1.04257453249157	13.4050135480033	0.613459965437426	0.580997989412265	5.35483870967742	19.28225806
139	KC2-3-1	ST15L42	CP2	CP2	113	2	211	3	KC2	0.39	1.82	11.1	1.9	19	1	0	0	KC2	2244.132886	36.82301	-118.83542	30660.2300491333	24248.250058433	148.96999835968	127471.812072754	8.58845527691711	20.9039565838449	-2.46929323827579	2.02357658003781	7.44827586206897	9.904761905
174	DPR-5-2	ST1L8	DPR	DPR	20	3	101	5	DPR	0.18	1.06	6.9	1.5	18	1	1	0	DPR	1018.591893	39.22846	-120.81518	10010.4099748135	44452.2700602282	3364.68001177721	367741.783691407	7.69853659048374	20.2057994529807	-1.41144768088768	-3.50018099507599	4.49032258064516	NA
17	DPR-1-1	ST8L17	DPR	DPR	72	3	125	1	DPR	0.23	1.48	4.3	1.3	14	1	1	0	DPR	1018.591893	39.22846	-120.81518	10010.4099748135	44452.2700602282	3364.68001177721	367741.783691407	7.69853659048374	20.2057994529807	-1.41144768088768	-3.50018099507599	4.49032258064516	14.16504854
47	DPR-9-1	ST13L41	DPR	DPR	73	3	139	9	DPR	0.32	1.14	4.6	1.7	13	1	1	1	DPR	1018.591893	39.22846	-120.81518	10010.4099748135	44452.2700602282	3364.68001177721	367741.783691407	7.69853659048374	20.2057994529807	-1.41144768088768	-3.50018099507599	4.49032258064516	NA
52	DPR-7-1	ST15L21	DPR	DPR	74	3	146	7	DPR	0.4	1.38	7.4	1.7	14	1	1	0	DPR	1018.591893	39.22846	-120.81518	10010.4099748135	44452.2700602282	3364.68001177721	367741.783691407	7.69853659048374	20.2057994529807	-1.41144768088768	-3.50018099507599	4.49032258064516	13.61073826
45	DPR-3-1	ST5L46	DPR	DPR	93	3	119	3	DPR	0.32	1.2	7.2	1.5	14	1	1	1	DPR	1018.591893	39.22846	-120.81518	10010.4099748135	44452.2700602282	3364.68001177721	367741.783691407	7.69853659048374	20.2057994529807	-1.41144768088768	-3.50018099507599	4.49032258064516	NA
