"","ID","mf","pop","lf_thickness","postvern_stem_diam","postvern_height","postvern_lngst_lf","postvern_no_lvs","postvern_no_brs","flrd_yn","died_during_drt","site","el","lat","long","cwd","ppt","pck","str","tmn","tmx","PC1","PC2","season_length","sla"
"1","BH-11-5",11,"BH",0.29,0.69,1.8,0.7,14,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"2","BH-33-1",33,"BH",0.15,1.24,3.9,2.8,11,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"3","BH-3-4",3,"BH",0.22,1.03,1.9,1,11,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,"17.75641026"
"4","BH-17-3",17,"BH",0.18,1.13,2.8,1.8,11,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"5","BH-28-1",28,"BH",0.21,0.89,2.6,1.3,12,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"6","BH-19-3",19,"BH",0.16,0.41,1,0.5,8,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"7","BH-21-5",21,"BH",0.21,1.18,2.9,2,12,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"8","BH-13-1",13,"BH",0.24,1.05,4,1.7,14,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,"16.48275862"
"9","BH-7-1",7,"BH",0.15,1.17,5,1.8,12,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,"15.23888889"
"10","BH-9-2",9,"BH",0.09,1.09,3,1.4,20,2,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,"15.58333333"
"11","BH-19-5",19,"BH",0.14,0.68,1.3,0.6,9,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,"24.68181818"
"12","BH-21-1",21,"BH",0.22,1.27,3.2,1.8,12,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"13","BH-3-5",3,"BH",0.15,0.99,2.2,0.8,8,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"14","BH-7-4",7,"BH",0.19,1.11,3.2,1.7,8,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"15","BH-1-2",1,"BH",0.29,1.17,4,2.5,7,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"16","BH-15-5",15,"BH",0.19,0.65,2.5,1.6,13,2,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,"17.83653846"
