trait	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
lf_thickness	0.8893975489542935	0.81528825931833	0.4292162584012186	0.8427318523223183	0.7590006500509052	0.22152491895658766	0.8066537276410282	0.6884260631610104	0.9125980620029697	0.9590242793564568
height	0.7795082319463016	0.7423037004516448	0.2985390062904673	0.4583077607916751	0.40721382324179445	0.16637702024474096	0.3831644223416464	0.26447712247270405	0.01585783104856668	0.9392151054569109
stem_diam	0.7675974828203074	0.5566015916919432	0.6486414129136135	0.9869408990838449	0.55440649901653	0.34092696005207357	0.8630687586785019	0.7208304763947853	0.30735802514992444	0.8834808434296842
no_lvs	0.5678072294846142	0.3834198941466308	0.7313278105442396	0.8512931867677193	0.8709507378243835	0.0945623182516148	0.6849268101858951	0.8152011589258975	0.5891997877196415	0.5999417891601085
lngst_lf	0.8626827737873269	0.8678257278904141	0.22348784329500332	0.9268194469720646	0.0337574787600803	0.02480964149246407	0.4198822282488971	0.008050737573270484	0.9532552445365647	0.9339486695362268
sla	0.7617578794230693	0.39673833593839025	0.2952754910033091	0.6094423778300512	0.8173635870817075	0.40917783948863007	0.05298304652040908	0.9810959273787614	0.43178669788473145	0.7607534202802182
